min_cluster_size,min_samples,cluster_selection_method,metric,algorithm,alpha,silhouette,davies_bouldin,calinski_harabasz,validity_index,coverage,total_clusters,cluster_sizes
200,20,eom,manhattan,best,2.0,0.37998357,1.7104141330607812,45025.38386556689,0.2699618012095477,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,1,eom,euclidean,best,0.5,0.39192113,1.6453000910456583,75125.96133259662,0.26999332187720876,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,1,eom,euclidean,best,2.0,0.39192113,1.6453000910456583,75125.96133259662,0.26999332187720876,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,1,eom,manhattan,best,0.5,0.39299676,1.6672000913840275,75110.6273466263,0.26228315942831787,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,1,eom,manhattan,best,2.0,0.39299676,1.6672000913840275,75110.6273466263,0.26228315942831787,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,2,eom,euclidean,best,0.5,0.39091504,1.6438696527736276,75136.89760950644,0.26380701173867843,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,2,eom,euclidean,best,2.0,0.39091504,1.6438696527736276,75136.89760950644,0.26380701173867843,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,2,eom,manhattan,best,0.5,0.39208856,1.6759820268756278,75099.2704078153,0.26183484682291885,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,2,eom,manhattan,best,2.0,0.39208856,1.6759820268756278,75099.2704078153,0.26183484682291885,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,5,eom,euclidean,best,0.5,0.3948433,1.7598655252551343,74992.2481840106,0.2626505777555554,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,5,eom,euclidean,best,2.0,0.3948433,1.7598655252551343,74992.2481840106,0.2626505777555554,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,5,eom,manhattan,best,0.5,0.3897619,1.7005204546381372,75070.72953861444,0.26074204923222155,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,5,eom,manhattan,best,2.0,0.3897619,1.7005204546381372,75070.72953861444,0.26074204923222155,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,10,eom,euclidean,best,0.5,0.41424042,1.3034552809880027,75458.7688317927,0.2635801258440853,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,10,eom,euclidean,best,2.0,0.41424042,1.3034552809880027,75458.7688317927,0.2635801258440853,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,10,eom,manhattan,best,0.5,0.397038,1.6625688075757372,75026.44372064466,0.2600766658508757,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,10,eom,manhattan,best,2.0,0.397038,1.6625688075757372,75026.44372064466,0.2600766658508757,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,20,eom,euclidean,best,0.5,0.3987517,1.6704700565259971,74980.41707165519,0.2621886628479557,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,20,eom,euclidean,best,2.0,0.3987517,1.6704700565259971,74980.41707165519,0.2621886628479557,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,20,eom,manhattan,best,0.5,0.38569543,0.9131019455776311,75172.35096905759,0.2805094571401564,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
500,20,eom,manhattan,best,2.0,0.38569543,0.9131019455776311,75172.35096905759,0.2805094571401564,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
